"rgn_id","sector","year","value"
12,"cf",1995,13353.3876424502
12,"cf",1996,11813.2383341124
12,"cf",1997,5727.02852341525
12,"cf",1998,18179.6203787171
12,"cf",1999,7126.71047982325
12,"cf",2000,11031.8346035204
12,"cf",2001,6609.97725049316
12,"cf",2002,12726.695068881
12,"cf",2003,11583.140623377
12,"cf",2004,12489.8486475419
12,"cf",2005,14241.2480802617
12,"cf",2006,15037.7876431334
12,"cf",2007,20107.7177081816
12,"cf",2008,18329.5326921222
12,"ph",1993,950.154535451168
12,"ph",1995,20720.4105272139
12,"ph",1996,12755.7341485961
12,"ph",1997,8624.89704509358
12,"ph",1998,9060.24837222196
12,"ph",1999,7922.65137023056
12,"ph",2000,8791.56898433328
12,"ph",2001,2827.82171328924
12,"ph",2002,9756.34169122482
12,"ph",2003,10516.3787050143
12,"ph",2004,11934.8592592688
12,"ph",2005,14795.1944465311
12,"ph",2006,14750.557971929
12,"ph",2007,24106.8600367503
12,"ph",2008,22049.7045055074
12,"sb",1995,5435.47940593839
12,"sb",1996,6168.78029152199
12,"sb",1997,13848.2443437278
12,"sb",1998,9573.48096653718
12,"sb",1999,6783.86978772517
12,"sb",2000,8782.85460247196
12,"sb",2001,5827.38184045863
12,"sb",2002,9807.75064361184
12,"sb",2003,15699.3051605784
12,"sb",2004,17284.538510698
12,"sb",2005,18640.9044075556
12,"sb",2006,15335.9800914468
12,"sb",2007,25412.1933003159
12,"sb",2008,22817.6921616253
12,"tour",1993,2297.5337362697
12,"tour",1995,24891.663336686
12,"tour",1996,13596.7239299148
12,"tour",1997,14330.8592117372
12,"tour",1998,7971.70542855547
12,"tour",1999,5755.17111946326
12,"tour",2000,12260.3629529759
12,"tour",2001,12245.6225022331
12,"tour",2002,23328.0018180378
12,"tour",2003,36077.4793587191
12,"tour",2004,43598.7594351809
12,"tour",2005,42091.2616008821
12,"tour",2006,41028.7732616109
12,"tour",2007,55518.9239878084
12,"tour",2008,47508.9571671155
12,"tran",1993,5741.35865648927
12,"tran",1995,12869.8449202752
12,"tran",1996,7719.09425740907
12,"tran",1997,18638.9669825888
12,"tran",1998,20849.2842671539
12,"tran",1999,21139.6360565794
12,"tran",2000,16937.6097241698
12,"tran",2001,14869.3090763403
12,"tran",2002,35458.5709415157
12,"tran",2003,44067.6679366674
12,"tran",2004,48492.7670361989
12,"tran",2005,51296.6939300593
12,"tran",2006,72418.4251527988
12,"tran",2007,110417.855066504
12,"tran",2008,94824.2392689414
